DJ_1,YG_F_2,YG_B_2,ZXZ_YL_1,NJB_SZ_11,YG_A_2,YG_D_2,KWC_YL_1,volume_weight,cohesion,DJ_2,DJ_3,NJB_SZ_21,ZXZ_YL_2,KWC_YL_2,ZZJL,YG_E_2,YG_C_2,frictional_angle,DJ_4,DX_DW_1
34359.02613,124.6840855,121.9168646,1.398396675,60.75296912,125.2351544,124.5653207,0.554916865,19.63606334,14.66083773,20.54738717,1.199263658,77.20665083,1.439738717,0.560688836,30.3,121.888361,124.9073634,21.64796526,178.6068884,-1.0
34274.37252,108.0686922,106.4570674,1.401677675,58.78467635,108.2615588,107.9075297,0.605495376,19.63482688,14.62527155,23.17992074,1.212787318,78.8665786,1.474636724,0.622628798,30.0,106.5838838,108.4782034,21.65517651,178.8678996,0.0
33167.30083,110.8894174,103.9548157,1.40648038,55.0059453,107.3103448,110.5778835,0.546171225,19.63353061,14.58655732,18.73210464,1.228894174,81.51724138,1.453769322,0.552865636,30.42,103.8097503,107.8311534,21.6674163,181.353151,1.0
33031.89189,118.7005405,112.9340541,1.406281081,50.19675676,116.4497297,118.4281081,0.566832432,19.6322597,14.54819562,19.53340541,1.213405405,78.24756757,1.446735135,0.573297297,30.5,112.9643243,117.2432432,21.67762226,178.5567568,3.6
34614.26895,114.0516432,112.9507042,1.406784038,52.89553991,114.2840376,113.9812207,0.573744131,19.63095918,14.51261549,20.45528169,1.211338028,77.80633803,1.446842723,0.579964789,28.92,112.3215962,114.1737089,21.68772048,178.82277,8.0
34689.97525,119.4207921,117.9084158,1.407883663,65.0,119.8242574,119.3960396,0.639554455,19.62962963,14.4800905,20.00049505,1.211113861,77.30074257,1.448712871,0.646794554,30.1,117.990099,119.7920792,21.69368192,178.8712871,6.0
32835.60694,111.8242775,109.5884393,1.407745665,66.94682081,111.7248555,111.6092486,0.653526012,19.62848556,14.439272,20.12554913,1.225988439,79.13294798,1.449213873,0.661236994,30.9,109.6716763,111.6763006,21.70619469,180.5780347,8.0
31973.25714,111.8697143,108.7085714,1.408514286,67.68457143,112.1051429,111.7737143,0.621588571,19.62723036,14.4079727,19.28754286,1.224502857,80.44914286,1.44992,0.627737143,33.42,108.5782857,112.2857143,21.71463049,180.5691429,7.0
34603.21429,99.86428571,95.3,1.478589286,59.52857143,98.65,99.73571429,0.711571429,19.62606604,14.37229136,23.72214286,1.204428571,76.2625,1.521339286,0.717482143,22.78,95.42142857,99.63214286,21.72417455,3154.288393,5.0
34235.36184,94.51315789,94.4375,1.486578947,58.82072368,96.87828947,93.62828947,0.755,19.62474363,14.33508105,24.08815789,1.212927632,76.93092105,1.529950658,0.760082237,32.66,94.38157895,95.87171053,21.73392326,4703.560855,6.0
33563.60567,114.0621202,105.6070223,1.391823093,62.80486158,109.2505064,116.7535449,0.621688049,19.62363127,14.3003628,10.98170155,1.010263336,75.73801485,1.479189737,0.628926401,40.2,105.7218096,109.1060095,21.74228232,3871.134369,7.0
36181.44444,127.3266667,118.54,1.637233333,65.0,122.2844444,128.5288889,0.8145,19.62233728,14.26365878,19.78522222,1.017044444,75.87444444,1.697855556,0.820833333,30.56,118.4466667,122.3711111,21.7530572,4064.766667,7.0
37676.65056,112.1014493,103.5169082,1.632504026,65.0,107.0338164,113.2415459,0.814178744,19.62103883,14.23005079,19.11835749,1.098405797,76.60225443,1.671457327,0.820756844,37.42,103.3655395,107.2286634,21.76157627,4076.325819,6.8
40077.69608,97.95833333,89.73529412,1.636642157,64.88112745,93.11764706,99.67647059,0.749460784,19.61995754,14.19888943,15.54620098,1.200612745,76.98039216,1.680208333,0.755637255,27.54,89.78676471,93.27696078,21.77061898,3735.823121,6.0
39517.02396,100.4262295,91.62421185,1.642005044,59.4779319,95.01387137,101.813367,0.781702396,19.61856375,14.16427292,18.6741488,1.188675914,74.50063052,1.710933165,0.788020177,29.3,91.7629256,95.34174023,21.77923791,3985.233291,4.8
39953.22581,111.340176,104.3049853,1.643240469,62.0,107.7859238,111.5571848,0.791964809,19.61756494,14.12558442,19.79853372,1.197243402,76.47360704,1.719677419,0.798475073,30.16,104.3929619,108.3489736,21.79058442,4084.472141,9.0
40709.92443,120.9848866,112.0579345,1.644030227,66.0,115.8639798,121.7732997,0.810403023,19.61634569,14.09363975,18.85100756,1.125717884,77.34508816,1.681801008,0.815453401,34.12,112.2745592,116.0554156,21.79815504,4243.350126,11.0
38670.9596,107.5984848,101.5681818,1.637866162,64.1540404,105.2525253,107.5631313,0.806868687,19.61512022,14.06096498,20.46641414,1.211691919,77.53661616,1.67729798,0.813030303,29.42,101.3737374,105.4494949,21.80626109,3826.679293,9.0
39115.69767,112.1511628,112.8953488,1.635,62.0,112.4069767,111.8488372,0.80505814,19.61403988,14.02957543,22.73604651,1.247906977,77.69767442,1.674186047,0.811046512,6.6,113.2325581,112.3255814,21.81526214,4118.77907,9.0
37994.92462,110.3638191,104.520603,1.63159799,61.74070352,107.1819095,110.1809045,0.777778894,19.61171675,13.95965473,15.38603015,0.922432161,74.48442211,1.674904523,0.78318593,35.24,103.9919598,107.4492462,21.83502238,2932.703518,-1.0
39074.02597,123.4805195,122.4805195,1.674155844,65.0,123.7792208,122.5454545,0.821948052,19.61048438,13.93041746,24.50454545,1.257532468,78.35714286,1.715194805,0.827402597,11.7,121.6103896,123.6623377,21.83959528,3972.142857,-3.0
40330.62331,105.1273713,98.72628726,1.718455285,61.0,102.0271003,104.7262873,0.859214092,19.61954171,13.54513474,25.55392954,1.196639566,78.58536585,1.7600271,0.863875339,37.1,98.2601626,102.7262873,22.09903179,4487.235772,0.0
41407.53425,125.8356164,124.1815068,1.605256849,60.71061644,127.6712329,125.8972603,0.735873288,19.62336418,13.41933755,23.34640411,1.191746575,78.7619863,1.642893836,0.739794521,23.6,123.6438356,127.5684932,22.18912161,4570.702055,2.0
41164.03101,121.5937984,122.8775194,1.605348837,63.0,124.2635659,121.420155,0.740449612,19.6276561,13.28442301,25.98,1.128899225,81.54418605,1.64296124,0.745426357,26.2,122.0930233,124.2542636,22.286695,4999.395349,4.0
41338.09524,116.7027915,115.2676519,1.607126437,61.74055829,118.091954,116.5484401,0.770870279,19.63183163,13.1511345,25.19392447,1.150049261,80.20853859,1.644729064,0.775714286,35.08,114.4006568,117.408867,22.38128905,4483.727422,4.0
41867.78947,105.5242105,98.64,1.588357895,60.01473684,101.6547368,104.3915789,0.599642105,19.6360086,13.01871587,25.02,1.180042105,80.79157895,1.631368421,0.602421053,17.6,98.4,102.8421053,22.47699818,4406.821053,4.0
40015.80264,103.1678035,97.02592087,1.587530696,57.27694407,99.99181446,103.7189632,0.715757162,19.64016653,12.8788343,24.17312415,1.19042292,79.95634379,1.629918145,0.719836289,36.4,96.68485675,100.633015,22.57686928,3920.381992,9.0
43646.80535,115.1946508,106.5943536,1.587295691,60.59732541,109.8959881,116.0326895,0.724442793,19.64450218,12.74171975,19.0179792,1.187518574,78.18870728,1.629687964,0.728484398,20.86,105.9881129,110.1842496,22.67587999,3664.6211,14.0
43683.71849,128.407563,126.2836134,1.661943277,61.0,129.5882353,128.2605042,0.767226891,19.64875169,12.60220985,36.55756303,0.761134454,78.71323529,1.703172269,0.771628151,31.4,125.2521008,129.802521,22.77572537,3801.235744,22.0
44707.92683,118.4847561,115.8262195,1.666493902,60.06707317,119.2835366,118.1128049,0.766219512,19.6532269,12.45993546,41.67621951,0.723170732,78.38871951,1.74867378,0.77027439,27.2,115.0304878,119.4359756,22.88033288,3818.894817,24.0
47406.39098,110.8646617,106.924812,1.666691729,61.0,110.1879699,111.2857143,0.807255639,19.65777056,12.31196786,29.62932331,1.030150376,78.48496241,1.70481203,0.81018797,15.56,106.3684211,110.7744361,22.98531373,4108.984962,23.0
46541.32841,126.1439114,125.804428,1.698616236,61.7398524,125.5313653,125.9114391,0.846845018,19.66227844,12.16738943,37.65405904,0.728376384,78.62730627,1.737140221,0.849391144,28.4,125.7343173,124.6678967,23.08955429,3633.118081,20.0
47783.07692,130.3384615,130.4615385,1.693692308,60.27692308,130.7384615,130.8,0.845076923,19.66690348,12.0193554,33.8,0.811692308,77.89230769,1.733230769,0.849230769,2.52,130.5846154,130.5538462,23.19447236,3578.153846,19.6
42933.33333,124.4444444,125.5555556,1.774444444,71.55555556,125.1111111,124.2962963,0.964074074,19.68263784,12.16281213,34.15185185,0.901481481,86.44444444,1.811111111,0.968888889,22.9,125.1111111,124.8148148,23.50754148,4365.925926,-8.8
43850.0,107.875,108.0416667,1.780208333,72.95833333,108.6666667,108.4583333,0.990833333,19.68128538,12.25844156,31.59166667,1.018333333,87.0,1.838541667,0.994166667,27.3,108.8333333,108.625,23.47027972,4613.541667,-11.8
42729.72973,107.9459459,108.2162162,1.787027027,70.0,108.3243243,107.7837838,0.924864865,19.67984124,12.35310071,41.17027027,0.871351351,86.0,1.848648649,0.928918919,28.18,108.3243243,108.6486486,23.43542252,5188.378378,-6.0
44240.0,111.3333333,111.6,1.781555556,69.48888889,111.9555556,111.2444444,0.933555556,19.67874753,12.43865878,37.66888889,0.933777778,86.0,1.822666667,0.935555556,22.64,111.3777778,111.9555556,23.40345168,6071.333333,-6.8
43180.4878,114.1463415,113.804878,1.778292683,69.51219512,113.8536585,114.5365854,0.897073171,19.67743305,12.52949053,33.31707317,0.997560976,85.2195122,1.81902439,0.899756098,27.4,111.804878,113.8536585,23.36812541,5197.560976,-8.4
43426.92308,111.0,110.3846154,1.764615385,72.0,111.4615385,111.0,0.912307692,19.67598572,12.61938991,40.05384615,0.884615385,87.76923077,1.799230769,0.916923077,27.18,111.3846154,111.4615385,23.33177024,4660.0,134.0
43731.42857,109.4857143,111.9428571,1.754,71.0,112.1142857,106.2285714,0.940857143,19.67475415,12.70762534,32.20857143,1.022285714,85.77142857,1.797714286,0.942571429,21.98,112.6857143,111.8285714,23.29743672,4732.0,-4.4
44494.44444,106.5555556,109.9444444,1.770555556,74.83333333,108.8333333,109.1666667,1.000833333,19.67351386,12.79299792,31.38611111,1.044444444,88.08333333,1.801111111,1.004722222,27.12,109.3333333,109.0,23.26449287,4644.166667,-5.0
45664.44444,108.4,107.2444444,1.936444444,74.86666667,109.8222222,108.2666667,1.084888889,19.67226824,12.87776362,34.8,0.989777778,87.28888889,1.970666667,1.088,27.36,106.4444444,109.1555556,23.23233514,4792.0,-8.6
47161.76471,120.8235294,120.7058824,1.938235294,68.11764706,120.4705882,120.2352941,1.007352941,19.67504003,12.70569965,36.69117647,0.9,85.52941176,1.967647059,1.008823529,27.5,121.8823529,120.2352941,23.30208133,4773.823529,4.8
45315.38462,113.025641,113.2307692,1.941282051,68.61538462,113.025641,112.6153846,1.008974359,19.67757371,12.54941195,40.32820513,0.869230769,86.02564103,1.971282051,1.00974359,28.14,108.9230769,113.0769231,23.36521669,4817.179487,4.2
46008.33333,111.2222222,112.8888889,1.981666667,72.83333333,112.0555556,113.0,1.053055556,19.6800616,12.38792349,41.575,0.836111111,85.88888889,2.029444444,1.054166667,27.84,113.0555556,112.1111111,23.42882153,4863.888889,-312.0
48363.82979,118.1914894,118.7659574,2.061170213,75.0106383,118.6595745,118.5319149,1.157659574,19.68255833,12.22881384,30.94255319,1.01893617,86.94680851,2.096808511,1.159361702,55.9,118.5744681,118.5531915,23.49300049,4790.851064,1.0
46611.11111,110.0952381,110.6349206,1.90047619,72.74603175,110.7301587,110.0634921,1.019206349,19.68778714,11.89533961,30.24126984,0.966984127,87.73015873,1.938571429,1.02047619,34.8,109.7142857,110.6349206,23.62632623,4446.190476,2.2
47124.0,110.24,109.28,1.904,85.12,110.0,109.28,0.9336,19.69031936,11.72681304,30.564,0.8688,82.52,1.942,0.9332,25.64,110.16,110.08,23.69336327,4760.8,-0.6
48351.85185,99.77777778,101.8518519,2.025555556,68.85185185,101.037037,98.96296296,1.073333333,19.69303533,11.55782689,39.31111111,0.932592593,86.77777778,2.061111111,1.074814815,25.72,100.8888889,101.1111111,23.76085719,5740.740741,-4.2
47314.70588,102.7058824,104.0588235,2.021764706,73.05882353,102.0588235,97.35294118,1.043235294,19.69580526,11.38436658,39.22941176,0.878235294,86.0,2.06,1.044705882,26.94,103.2352941,102.0,23.83000337,5671.470588,-7.2
46893.75,103.25,103.5,2.025,75.375,103.5,103.375,1.029375,19.69847354,11.21036296,43.05,0.90375,90.0625,2.06,1.03,8.54,103.375,103.625,23.89787992,5899.375,-9.4
46705.0,104.05,103.95,2.0285,67.625,103.85,103.95,1.02475,19.70131489,11.0324112,38.185,0.9945,88.0,2.06075,1.02225,34.38,103.95,103.85,23.96815232,5709.5,-9.4
