domain,variable,count,mean,std,min,25%,50%,75%,max
HZW,刀盘扭矩,199.0,10473.05936063819,1291.5094397639978,7419.247434,9534.2191525,10383.58352,11252.083514999998,13891.97215
HZW,刀盘转速,199.0,1.1832182150653265,0.03237453805781492,1.073072805,1.1645662595,1.188757862,1.206047174,1.250944272
HZW,工作仓压力1,199.0,3.3648834726432155,0.42150115769153196,2.650309434,2.9752046795,3.292322503,3.785790129,4.044595355
HZW,开挖仓压力1,199.0,2.8784213370753764,0.25199737726853544,2.322294521,2.7362721045000002,2.910650542,3.0422517535,3.552084665
HZW,总推力,199.0,76109.78901427136,4759.181672375252,64836.09134,72649.48842000001,76075.69917,79804.243925,85300.30234
HZW,总注浆量,199.0,36.20303182597989,2.530063528319897,28.5,34.503333335,36.56333334,37.94666667,41.64
HZW,贯入度,199.0,13.240924384326632,1.5167288651293365,8.107245543,12.244891710000001,13.34702929,14.26519199,16.43246231
ZJ,刀盘扭矩,3089.0,8.424151279639043,4.518030886262598,1.671842819,4.702586801,6.553574671,12.04234327,26.41151972
ZJ,刀盘转速,3089.0,1.2210078164289413,0.12596890976309855,0.730495308,1.154663316,1.249241777,1.303855507,1.406528112
ZJ,工作仓压力1,3089.0,3.612526611249919,0.8331605489722957,0.912788891,3.024941195,3.27275082,4.456493691,5.137567896
ZJ,开挖仓压力1,3089.0,2.9537395545713823,0.8987192476283955,0.180620988,2.277516099,2.860159519,3.884841217,4.695299907
ZJ,总推力,3089.0,77122.08658598251,15409.28589628114,32266.41972,66114.75971,76239.38569,88939.56515,131960.3671
ZJ,总注浆量,3089.0,25.606862370615083,3.546744540290145,14.9944602,23.031855,24.99780487,27.47518113,36.24511524
ZJ,贯入度,3089.0,16.80826112377533,4.67917628900769,3.085245348,13.1336684,16.59147088,20.36269126,29.29310287
